id_producto,sku,marca,atc1,atc3,elast_producto,r2_producto,n_producto,elast_atc3,r2_atc3,n_atc3,elast_atc1,r2_atc1,n_atc1,elasticidad,nivel_estimacion
1,ADM-0001,Farma Demo B001,A,A4H,-1.0999971220241653,0.027089660604203036,717,-1.0999971220241653,0.027089660604203036,717,-0.014368657011781884,0.0020233610895696863,23473,-1.0999971220241653,Producto
2,ADM-0002,Farma Demo C002,A,A8G,-1.4174347309431519,0.015671911165963226,963,-1.4174347309431519,0.015671911165963226,963,-0.014368657011781884,0.0020233610895696863,23473,-1.4174347309431519,Producto
3,ADM-0003,Farma Demo D003,M,M9E,-1.2267085117509082,0.01814650045359234,1092,-1.2267085117509082,0.01814650045359234,1092,-0.04339205601992887,0.005109595847068271,66231,-1.2267085117509082,Producto
4,ADM-0004,Farma Demo E004,C,C5E,-0.5219321925391847,0.08943308156721053,150,-0.5219321925391847,0.08943308156721053,150,8.008641045536419e-06,0.001212878671191353,19767,-0.5219321925391847,Producto
5,ADM-0005,Farma Demo F005,L,L5G,-2.574839224995692,0.043200301341625,1294,-2.574839224995692,0.043200301341625,1294,0.04688366150794962,0.0027592891615930704,6329,-2.574839224995692,Producto
6,ADM-0006,Farma Demo G006,J,J7E,-2.556041588711708,0.09810378257900598,1285,-2.556041588711708,0.09810378257900598,1285,0.018418744841157547,0.03237018059656427,57790,-2.556041588711708,Producto
7,ADM-0007,Farma Demo H007,A,A8E,-2.0583123543797393,0.05086089799627169,645,-2.0583123543797393,0.05086089799627169,645,-0.014368657011781884,0.0020233610895696863,23473,-2.0583123543797393,Producto
8,ADM-0008,Farma Demo I008,N,N2G,-1.4657183398370492,0.018914461078338274,2362,0.05623582752570389,0.007127813525253379,2701,-0.004903227090677788,0.001133660250577151,37968,-1.4657183398370492,Producto
9,ADM-0009,Farma Demo J009,J,J2B,-2.4275529108777767,0.08134500427394176,1459,-2.4275529108777767,0.08134500427394176,1459,0.018418744841157547,0.03237018059656427,57790,-2.4275529108777767,Producto
10,ADM-0010,Farma Demo K010,N,N1A,-1.0208380268317692,0.01918240960229911,1396,-0.9285607437175951,0.010606829592085254,2531,-0.004903227090677788,0.001133660250577151,37968,-1.0208380268317692,Producto
11,ADM-0011,Farma Demo L011,J,J6G,-1.3082807360716453,0.08078319884267227,144,-0.042215308617635075,0.04408690873380994,2213,0.018418744841157547,0.03237018059656427,57790,-1.3082807360716453,Producto
12,ADM-0012,Farma Demo M012,C,C8A,-1.8214387477891316,0.02484760989405843,2360,-1.8214387477891316,0.02484760989405843,2360,8.008641045536419e-06,0.001212878671191353,19767,-1.8214387477891316,Producto
13,ADM-0013,Farma Demo N013,J,J3A,-2.3138849789564135,0.1080069627492809,330,-2.3138849789564135,0.1080069627492809,330,0.018418744841157547,0.03237018059656427,57790,-2.3138849789564135,Producto
14,ADM-0014,Farma Demo O014,J,J2H,-1.406112098293259,0.06131759871701059,419,-0.04778852337644186,0.05580699207574347,622,0.018418744841157547,0.03237018059656427,57790,-1.406112098293259,Producto
15,ADM-0015,Farma Demo P015,J,J1A,-1.8648109317302524,0.05849191970448597,750,-1.8648109317302524,0.05849191970448597,750,0.018418744841157547,0.03237018059656427,57790,-1.8648109317302524,Producto
16,ADM-0016,Farma Demo Q016,J,J7F,-1.3730073024024192,0.04367258467100665,3974,-1.3730073024024192,0.04367258467100665,3974,0.018418744841157547,0.03237018059656427,57790,-1.3730073024024192,Producto
17,ADM-0017,Farma Demo R017,C,C2G,-2.3136735101792927,0.07436979985401038,205,-2.3136735101792927,0.07436979985401038,205,8.008641045536419e-06,0.001212878671191353,19767,-2.3136735101792927,Producto
18,ADM-0018,Farma Demo S018,N,N8B,-0.5893596523489073,0.01705805934951865,1271,-0.276362088425529,0.020577716618092823,1626,-0.004903227090677788,0.001133660250577151,37968,-0.5893596523489073,Producto
19,ADM-0019,Farma Demo T019,R,R9A,-1.238322676297951,0.06236376569531721,2713,-1.238322676297951,0.06236376569531721,2713,-0.02717226819095793,0.04990333457923912,23166,-1.238322676297951,Producto
20,ADM-0020,Farma Demo U020,J,J9B,-2.4435974244295853,0.06434500451690206,246,-0.14421701804966414,0.035216335450446445,1619,0.018418744841157547,0.03237018059656427,57790,-2.4435974244295853,Producto
21,ADM-0021,Farma Demo V021,R,R7C,-1.9649037960513214,0.12435854086704023,250,-1.9649037960513214,0.12435854086704023,250,-0.02717226819095793,0.04990333457923912,23166,-1.9649037960513214,Producto
22,ADM-0022,Farma Demo W022,N,N4A,0.13580159178670653,0.047188910600084455,246,0.13580159178670653,0.047188910600084455,246,-0.004903227090677788,0.001133660250577151,37968,-0.2,Producto
23,ADM-0023,Farma Demo X023,L,L5C,0.1967837487545926,0.055109861909424906,224,0.1967837487545926,0.055109861909424906,224,0.04688366150794962,0.0027592891615930704,6329,-0.2,Producto
24,ADM-0024,Farma Demo Y024,A,A3G,-1.0015168809548372,0.02793744330113146,459,-0.06659441761462555,0.007608867015900356,1094,-0.014368657011781884,0.0020233610895696863,23473,-1.0015168809548372,Producto
25,ADM-0025,Farma Demo Z025,A,A4E,-1.786141718586958,0.029702943921657177,596,-1.786141718586958,0.029702943921657177,596,-0.014368657011781884,0.0020233610895696863,23473,-1.786141718586958,Producto
