feature,importancia,desvio
dias_a_vencer,0.07881426555685804,0.0008091209425946452
frio_sin_control,0.03757319544650765,0.001931834775365194
exceso_lead_time,0.018130059423060785,0.0015548088495264114
vida_util_remanente_pct,0.014067617189345757,0.0009754326509465934
unidades,0.010497284306965985,0.0006767342140629051
otif,0.008906247720302426,0.0004502133646658332
tasa_dev_cliente_hist,0.0076747717491361485,0.0007555478468620349
tipo_oferta,0.007662360991144775,0.0006822529269497462
transportista,0.0021647800306713316,7.00438388771407e-05
segmento,0.0012583722212117232,0.0002926409497094431
ratio_unidades_vs_sku,0.0010175524844137824,0.0002183685676278292
oferta_de_carga,0.0007046566535986084,0.00019321942169603156
importe_usd,0.0003690516872474718,0.00012118120530187988
tasa_dev_transportista_hist,0.00035234087559406674,0.0001306588897318367
canal,0.00031461919862537285,8.08327716278204e-05
descuento_pct,0.0003132346482731159,0.00017488031026136394
ratio_unidades_vs_hist,0.0001748549058158133,0.0002448180673598977
lead_time_dias,0.0001697517292908642,7.870154361039586e-06
ciclo_vida,0.0001548102976950405,0.0001008124326022283
vida_util_meses,7.247765544889558e-05,5.475653828306379e-05
atc1,6.572222095069247e-05,3.409493185666086e-05
tasa_dev_deposito_hist,4.005156985768347e-05,4.2245006741033715e-05
tasa_dev_cliente_producto_hist,2.9406008992112948e-05,0.00020751998682866507
sla_dias,0.0,0.0
tipo_venta,0.0,0.0
pedido_desproporcionado,0.0,0.0
confiabilidad,0.0,0.0
lote_critico,0.0,0.0
cadena_frio,0.0,0.0
forma_farmaceutica,-1.2255989521407311e-06,0.0001647767400793525
mes_nro,-3.488564935816285e-06,7.066838573676559e-05
tasa_dev_filial_hist,-2.1638305051937163e-05,6.644080245220394e-05
indice_estacional,-3.402396545378513e-05,6.834844049133696e-05
precio_lista_usd,-0.00012510311762910695,5.750366334279588e-05
antiguedad_meses,-0.00016648904265999706,0.00013393687564556357
margen_std_pct,-0.00016997760759592437,0.00010596963799341361
tasa_dev_producto_hist,-0.0004102619291519079,0.00015891230058886265
region,-0.005745528412679797,0.0013966909380808087
